,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.08,29.06,73,62,3.48,MV,1593305202
1,exaplatanos,40.98,22.12,23.33,60,0,1.34,GR,1593305718
2,busselton,-33.65,115.33,15.56,74,97,7.62,AU,1593305036
3,fortuna,40.6,-124.16,16.67,72,75,6.7,US,1593305217
4,saint george,37.1,-113.58,39.0,8,1,4.6,US,1593305035
5,bluff,-46.6,168.33,9.62,93,100,3.69,NZ,1593305200
6,cantaura,9.31,-64.36,24.77,79,100,3.67,VE,1593305718
7,surt,31.21,16.59,22.63,74,0,3.85,LY,1593305718
8,nkowakowa,-23.89,30.29,8.0,42,0,3.1,ZA,1593305718
9,methoni,36.82,21.7,22.78,88,0,1.84,GR,1593305719
10,cidreira,-30.18,-50.21,12.51,67,61,3.32,BR,1593305233
11,richards bay,-28.78,32.04,15.24,46,0,3.76,ZA,1593305719
12,hilo,19.73,-155.09,29.0,62,40,4.1,US,1593305000
13,torrijos,39.98,-4.28,26.67,49,0,2.1,ES,1593305719
14,rundu,-17.93,19.77,13.0,37,0,1.0,NA,1593305719
15,victoria,22.29,114.16,31.11,70,40,2.68,HK,1593305474
16,avarua,-21.21,-159.78,24.0,64,0,8.2,CK,1593305719
17,rikitea,-23.12,-134.97,21.25,73,18,8.26,PF,1593305507
18,tuktoyaktuk,69.45,-133.04,4.0,93,90,7.7,CA,1593305719
19,punta arenas,-53.15,-70.92,-3.0,79,0,3.1,CL,1593305507
20,brechin,56.73,-2.66,13.0,87,75,5.7,GB,1593305719
21,price,39.6,-110.81,33.0,16,1,5.1,US,1593305720
22,groa,62.65,8.72,22.0,53,27,8.7,NO,1593305720
23,bilibino,68.05,166.44,7.27,56,91,5.66,RU,1593305720
24,ushuaia,-54.8,-68.3,2.0,59,20,7.2,AR,1593305720
25,naze,28.37,129.48,27.0,94,75,6.2,JP,1593305720
26,hobart,-42.88,147.33,5.56,95,0,1.34,AU,1593305497
27,kapaa,22.08,-159.32,28.0,69,90,8.2,US,1593305194
28,faanui,-16.48,-151.75,25.02,75,98,7.38,PF,1593305720
29,butaritari,3.07,172.79,28.22,75,31,6.25,KI,1593305720
30,naryan-mar,67.67,53.09,5.34,77,100,6.42,RU,1593305720
31,nizwa,22.93,57.53,27.32,65,17,1.01,OM,1593305720
32,qaanaaq,77.48,-69.36,4.49,71,0,0.44,GL,1593305508
33,grand gaube,-20.01,57.66,22.22,76,99,3.13,MU,1593305721
34,esperance,-33.87,121.9,15.0,51,40,6.2,AU,1593305721
35,nikolskoye,59.7,30.79,21.0,64,75,3.0,RU,1593305721
36,port alfred,-33.59,26.89,16.59,60,99,13.78,ZA,1593305201
37,mataura,-46.19,168.86,7.1,89,100,0.88,NZ,1593305199
38,mayskiy,47.69,40.1,16.0,63,0,1.0,RU,1593305721
39,veraval,20.9,70.37,29.54,80,95,5.08,IN,1593305721
40,hobyo,5.35,48.53,25.48,77,26,8.91,SO,1593305721
41,barrow,71.29,-156.79,17.0,42,1,7.2,US,1593305201
42,albany,42.6,-73.97,19.44,85,100,0.68,US,1593305102
43,vaini,-21.2,-175.2,26.0,83,75,4.1,TO,1593305722
44,hamilton,39.18,-84.53,25.0,83,40,2.6,US,1593305251
45,alice springs,-23.7,133.88,11.0,36,0,3.1,AU,1593305250
46,akyab,20.15,92.9,28.11,79,99,1.25,MM,1593305722
47,hermanus,-34.42,19.23,12.22,86,59,0.45,ZA,1593305204
48,marawi,8.0,124.29,27.22,79,36,0.89,PH,1593305232
49,marquette,46.53,-87.63,21.67,59,0,0.45,US,1593305722
50,belaya gora,68.53,146.42,22.63,29,85,4.18,RU,1593305722
51,westport,41.14,-73.36,24.0,83,75,3.44,US,1593305228
52,ramnagar,29.4,79.12,28.49,58,0,2.21,IN,1593305722
53,la ronge,55.1,-105.28,17.0,88,90,1.5,CA,1593305225
54,arraial do cabo,-22.97,-42.03,21.08,83,95,9.11,BR,1593305217
55,ridgecrest,35.62,-117.67,42.0,10,20,8.2,US,1593305722
56,iqaluit,63.75,-68.51,4.0,86,20,4.1,CA,1593305215
57,butwal,27.7,83.45,26.61,81,99,0.63,NP,1593305558
58,yeniseysk,58.45,92.17,19.65,90,100,2.16,RU,1593305723
59,mount gambier,-37.83,140.77,8.0,81,0,4.6,AU,1593305049
60,bredasdorp,-34.53,20.04,15.0,62,57,6.7,ZA,1593305723
61,airai,-8.93,125.41,19.91,70,16,2.27,TL,1593305222
62,provideniya,64.38,-173.3,4.86,67,49,8.35,RU,1593305202
63,liverpool,53.41,-2.98,13.0,87,49,6.2,GB,1593305638
64,lorengau,-2.02,147.27,28.8,79,91,4.36,PG,1593305240
65,emerald,-23.53,148.17,20.0,56,75,4.1,AU,1593305723
66,atuona,-9.8,-139.03,26.83,75,87,4.76,PF,1593305196
67,maun,-19.98,23.42,7.0,52,0,1.5,BW,1593305723
68,kavaratti,10.57,72.64,28.57,76,88,8.1,IN,1593305239
69,vuktyl,63.86,57.31,6.75,70,4,4.59,RU,1593305723
70,evensk,61.95,159.23,12.78,67,92,3.13,RU,1593305542
71,saskylakh,71.92,114.08,15.55,51,100,3.09,RU,1593305203
72,mitsamiouli,-11.38,43.28,25.18,76,0,2.06,KM,1593305724
73,jamestown,42.1,-79.24,22.78,78,1,5.7,US,1593305689
74,severo-kurilsk,50.68,156.12,12.65,56,100,3.81,RU,1593305208
75,nagapattinam,10.77,79.83,28.67,73,100,3.5,IN,1593305724
76,skibotn,69.39,20.27,7.0,87,20,4.6,NO,1593305724
77,dikson,73.51,80.55,7.5,86,2,5.99,RU,1593305195
78,kuminskiy,58.67,66.57,10.48,72,100,0.75,RU,1593305724
79,yellowknife,62.46,-114.35,21.11,43,75,4.6,CA,1593305202
80,cascais,38.7,-9.42,20.0,94,3,5.74,PT,1593305724
81,fukue,32.69,128.84,25.0,88,75,4.6,JP,1593305724
82,cabo san lucas,22.89,-109.91,31.0,51,90,4.1,MX,1593305134
83,east london,-33.02,27.91,17.14,59,100,9.44,ZA,1593304926
84,college,64.86,-147.8,20.56,40,40,1.5,US,1593305725
85,eureka,40.8,-124.16,18.33,35,100,2.68,US,1593305230
86,chokurdakh,70.63,147.92,18.01,33,98,6.29,RU,1593305207
87,mogadishu,2.04,45.34,25.24,88,93,6.82,SO,1593305212
88,teguldet,57.31,88.17,20.68,74,0,3.71,RU,1593305725
89,ancud,-41.87,-73.82,8.33,100,90,1.5,CL,1593305224
90,honningsvag,70.98,25.97,7.02,81,100,5.08,NO,1593305725
91,carutapera,-1.2,-46.02,23.91,94,75,2.41,BR,1593305585
92,georgetown,5.41,100.34,28.0,94,20,1.89,MY,1593305201
93,thompson,55.74,-97.86,16.0,93,90,2.1,CA,1593305191
94,okha,53.57,142.95,10.24,95,100,1.72,RU,1593305519
95,yanaul,56.27,54.93,10.94,93,12,7.01,RU,1593305725
96,saint-philippe,-21.36,55.77,20.0,77,43,2.1,RE,1593305202
97,praia da vitoria,38.73,-27.07,22.0,83,90,2.57,PT,1593305726
98,port elizabeth,-33.92,25.57,14.0,76,40,9.8,ZA,1593304923
99,upernavik,72.79,-56.15,3.82,85,12,4.03,GL,1593305212
100,hasaki,35.73,140.83,22.22,100,75,3.6,JP,1593305199
101,kruisfontein,-34.0,24.73,11.77,66,0,9.21,ZA,1593305517
102,kodiak,57.79,-152.41,13.0,54,90,3.1,US,1593305223
103,safaga,26.73,33.94,28.0,32,0,1.5,EG,1593305513
104,carnarvon,-24.87,113.63,17.0,100,75,3.1,AU,1593305202
105,narsaq,60.92,-46.05,10.0,61,63,4.1,GL,1593305239
106,tiznit,29.58,-9.5,19.79,50,0,0.29,MA,1593305726
107,tokur,53.13,132.9,22.15,48,100,1.59,RU,1593305726
108,villaviciosa,43.48,-5.44,17.78,80,60,0.65,ES,1593305726
109,bengkulu,-3.8,102.27,26.3,77,5,1.62,ID,1593305244
110,lagoa,39.05,-27.98,19.1,97,98,5.63,PT,1593305196
111,curup,-3.47,102.53,22.72,85,6,1.13,ID,1593305727
112,pisco,-13.7,-76.22,17.0,88,1,4.6,PE,1593305727
113,roald,62.58,6.13,22.0,56,69,2.6,NO,1593305727
114,mwinilunga,-11.74,24.43,16.35,57,94,0.83,ZM,1593305727
115,cape town,-33.93,18.42,15.0,81,40,2.1,ZA,1593305727
116,manturovo,58.34,44.76,7.37,96,0,2.6,RU,1593305727
117,port blair,11.67,92.75,28.4,77,90,3.99,IN,1593305247
118,vila franca do campo,37.72,-25.43,20.0,88,75,1.0,PT,1593305200
119,port lincoln,-34.73,135.87,13.83,48,0,5.51,AU,1593305233
120,tiksi,71.69,128.87,8.03,80,61,6.02,RU,1593305239
121,domoni,-12.26,44.53,23.72,80,0,2.71,KM,1593305550
122,new norfolk,-42.78,147.06,5.56,93,0,1.23,AU,1593305195
123,chuy,-33.7,-53.46,7.06,82,0,1.75,UY,1593305195
124,mount isa,-20.73,139.5,22.0,28,0,2.1,AU,1593305248
125,nongan,44.38,125.17,24.0,60,0,2.0,CN,1593305728
126,boulder,40.08,-105.35,31.11,16,1,4.6,US,1593305604
127,tasiilaq,65.61,-37.64,5.0,86,99,2.6,GL,1593305728
128,sao filipe,14.9,-24.5,23.69,84,2,5.04,CV,1593305229
129,tongchuan,35.08,109.09,22.96,68,70,2.53,CN,1593305518
130,klaksvik,62.23,-6.59,14.0,93,100,7.2,FO,1593305204
131,olinda,-8.01,-34.86,25.0,83,20,1.5,BR,1593305728
132,horadiz,39.45,47.34,17.0,67,75,1.59,AZ,1593305728
133,los llanos de aridane,28.66,-17.92,23.0,69,90,7.2,ES,1593305236
134,sao joao da barra,-21.64,-41.05,21.97,86,12,2.15,BR,1593305232
135,ixtapa,20.7,-105.2,30.0,70,75,3.6,MX,1593305235
136,ruteng,-8.61,120.47,20.87,72,87,0.91,ID,1593305729
137,merauke,-8.47,140.33,26.82,76,100,5.51,ID,1593305705
138,broome,42.25,-75.83,23.0,73,1,2.6,US,1593305706
139,mar del plata,-38.0,-57.56,6.11,100,75,1.5,AR,1593305187
140,clyde river,70.47,-68.59,1.0,100,75,3.1,CA,1593305221
141,castro,-24.79,-50.01,10.87,97,100,2.54,BR,1593305198
142,nadym,65.53,72.52,10.14,75,99,2.59,RU,1593305729
143,quatre cocos,-20.21,57.76,22.22,78,20,5.1,MU,1593305729
144,constitucion,-35.33,-72.42,12.29,84,100,1.58,CL,1593305221
145,rocha,-34.48,-54.33,4.94,82,0,1.38,UY,1593305245
146,okhotsk,59.38,143.3,12.9,68,5,3.4,RU,1593305252
147,thiers,45.83,3.5,19.0,77,93,1.5,FR,1593305729
148,cherskiy,68.75,161.3,8.06,55,1,7.57,RU,1593305224
149,bethel,41.37,-73.41,21.11,95,100,1.93,US,1593305730
150,xining,36.62,101.77,16.0,34,0,1.13,CN,1593305730
151,russellville,35.28,-93.13,30.0,62,20,3.1,US,1593305659
152,half moon bay,37.46,-122.43,26.67,50,40,7.7,US,1593305610
153,jelenia gora,50.9,15.73,17.22,91,19,2.88,PL,1593305730
154,batemans bay,-35.72,150.18,15.0,60,0,1.94,AU,1593305730
155,matay,28.42,30.78,22.97,74,0,6.63,EG,1593305730
156,aginskoye,51.1,114.53,20.95,54,100,1.37,RU,1593305730
157,lokoja,7.8,6.74,23.47,93,88,1.96,NG,1593305731
158,kuressaare,58.25,22.5,18.33,82,0,2.1,EE,1593305731
159,sirjan,29.45,55.68,23.18,45,0,2.08,IR,1593305731
160,ponta delgada,37.73,-25.67,20.0,88,75,1.0,PT,1593305731
161,bijie,27.31,105.29,21.27,89,100,0.74,CN,1593305731
162,geraldton,-28.77,114.6,18.0,82,75,5.1,AU,1593305209
163,dingle,11.0,122.67,26.5,85,100,1.56,PH,1593305230
164,coquimbo,-29.95,-71.34,13.0,87,100,2.6,CL,1593305211
165,kyzyl-suu,42.34,78.0,11.87,62,100,1.66,KG,1593305731
166,mayo,38.89,-76.51,25.0,83,40,1.01,US,1593305105
167,davila,18.47,120.58,28.0,78,75,1.99,PH,1593305731
168,konevo,62.12,39.32,6.21,89,0,2.59,RU,1593305731
169,khatanga,71.97,102.5,23.28,44,100,0.61,RU,1593305201
170,maceio,-9.67,-35.74,23.0,94,40,1.5,BR,1593305484
171,bolivar,37.61,-93.41,28.33,72,97,6.31,US,1593305526
172,yulara,-25.24,130.99,10.0,46,0,4.6,AU,1593305029
173,great yarmouth,52.61,1.73,15.0,90,98,1.79,GB,1593305530
174,banda aceh,5.56,95.32,26.76,74,100,3.29,ID,1593305203
175,ampanihy,-24.7,44.75,17.24,91,0,2.33,MG,1593305732
176,pevek,69.7,170.31,0.55,95,91,9.05,RU,1593305197
177,chapais,49.78,-74.85,20.0,68,20,0.08,CA,1593305257
178,kampong chhnang,12.17,104.55,27.28,81,88,1.07,KH,1593305732
179,ontario,34.06,-117.65,29.44,37,1,7.2,US,1593305732
180,beira,-19.84,34.84,19.0,100,90,3.1,MZ,1593305732
181,talnakh,69.49,88.4,21.0,68,26,6.0,RU,1593305213
182,vostok,46.49,135.88,12.8,92,100,1.85,RU,1593305231
183,dasoguz,41.84,59.97,16.0,41,0,3.1,TM,1593305733
184,trairi,-3.28,-39.27,24.98,83,21,3.11,BR,1593305255
185,nanortalik,60.14,-45.24,5.93,88,81,0.56,GL,1593305199
186,souillac,-20.52,57.52,22.0,78,20,5.1,MU,1593305212
187,taldan,53.67,124.8,16.1,90,100,1.9,RU,1593305733
188,verkhnyaya inta,65.98,60.31,6.0,85,78,3.66,RU,1593305733
189,puerto ayora,-0.74,-90.35,21.67,91,32,2.24,EC,1593305211
190,torbay,47.67,-52.73,12.78,100,90,2.1,CA,1593304985
191,shingu,33.73,135.98,22.0,94,75,3.6,JP,1593305243
192,gornyy,55.12,83.91,15.71,72,100,6.11,RU,1593305734
193,petropavlovsk-kamchatskiy,53.05,158.65,26.0,39,0,3.0,RU,1593305111
194,yangambi,0.81,24.43,21.48,90,21,0.4,CD,1593305507
195,balabac,7.99,117.06,25.69,91,100,10.63,PH,1593305734
196,atar,20.52,-13.05,35.83,10,0,4.24,MR,1593305245
197,longyearbyen,78.22,15.64,7.0,75,20,2.1,SJ,1593305201
198,ostrovnoy,68.05,39.51,5.33,84,100,6.96,RU,1593305213
199,bambous virieux,-20.34,57.76,22.22,78,20,5.1,MU,1593305192
200,urumqi,43.8,87.6,23.0,43,95,2.0,CN,1593305734
201,gizo,-8.1,156.84,28.63,70,100,2.6,SB,1593305734
202,muros,42.78,-9.06,15.56,92,74,0.89,ES,1593305254
203,bafq,31.61,55.41,23.15,33,0,4.9,IR,1593305735
204,forquilhinha,-28.75,-49.47,11.37,83,100,1.17,BR,1593305609
205,port augusta,-32.5,137.77,11.0,50,0,2.6,AU,1593305735
206,ponta do sol,32.67,-17.1,22.0,73,20,5.7,PT,1593305228
207,ahipara,-35.17,173.17,15.17,62,3,6.98,NZ,1593305219
208,saint-pierre,-21.34,55.48,20.0,77,0,2.1,RE,1593305225
209,baykit,61.67,96.37,23.86,48,100,2.23,RU,1593305735
210,minab,27.15,57.08,32.0,75,64,1.0,IR,1593305735
211,portland,45.52,-122.68,20.56,52,75,3.1,US,1593305509
212,makakilo city,21.35,-158.09,31.0,62,75,1.5,US,1593305209
213,berdigestyakh,62.1,126.7,27.67,31,15,1.45,RU,1593305735
214,praia,14.92,-23.51,25.0,78,40,3.6,CV,1593305215
215,omsukchan,62.53,155.8,18.95,33,94,6.54,RU,1593305736
216,padang,-0.95,100.35,27.13,65,25,1.28,ID,1593305212
217,dawei,14.08,98.2,27.13,79,94,0.74,MM,1593305736
218,olafsvik,64.89,-23.71,10.64,87,100,4.96,IS,1593305242
219,san patricio,19.22,-104.7,31.0,66,40,2.6,MX,1593305249
220,rosiori,44.8,27.38,20.56,58,0,2.52,RO,1593305736
221,bentong,3.52,101.91,27.78,83,20,1.0,MY,1593305736
222,turukhansk,65.82,87.98,24.55,49,0,6.67,RU,1593305533
223,vermillion,42.78,-96.93,30.0,55,20,6.7,US,1593305736
224,ribeira grande,38.52,-28.7,19.58,94,100,3.13,PT,1593305228
225,mtwara,-10.27,40.18,22.0,94,20,2.6,TZ,1593305736
226,hare bay,48.85,-54.01,13.0,100,90,1.0,CA,1593305736
227,te anau,-45.42,167.72,7.47,88,100,1.78,NZ,1593305201
228,wahiawa,21.5,-158.02,30.56,74,90,5.7,US,1593305737
229,sherbakul,54.63,72.4,11.0,93,75,7.0,RU,1593305737
230,neiafu,-18.65,-173.98,27.0,69,75,3.6,TO,1593305737
231,port moresby,-9.44,147.18,30.0,94,20,1.5,PG,1593305737
232,kaitangata,-46.28,169.85,10.0,91,100,1.34,NZ,1593305207
233,bonnyville,54.27,-110.73,17.0,63,75,1.5,CA,1593305737
234,mabaruma,8.2,-59.78,24.62,91,82,1.63,GY,1593305737
235,sangar,63.92,127.47,25.14,47,82,0.72,RU,1593305253
236,vao,-22.67,167.48,21.0,65,0,6.5,NC,1593305208
237,mackay,-21.15,149.2,21.0,77,90,6.2,AU,1593305737
238,deputatskiy,69.3,139.9,18.87,54,100,1.22,RU,1593305256
239,mahibadhoo,3.78,72.97,28.44,77,48,5.17,MV,1593305737
240,nelson bay,-32.72,152.15,15.0,77,90,2.6,AU,1593305238
241,kavieng,-2.57,150.8,29.27,73,65,5.59,PG,1593305234
242,lebyazhye,55.27,66.49,8.73,80,97,2.65,RU,1593305738
243,chaykovskiy,56.77,54.11,10.0,89,37,3.13,RU,1593305738
244,kenai,60.55,-151.26,17.0,51,1,5.1,US,1593305738
245,mhlambanyatsi,-26.45,31.02,11.51,39,0,6.42,SZ,1593305738
246,husavik,66.04,-17.34,8.0,93,90,0.57,IS,1593305195
247,stillwater,36.12,-97.06,33.0,49,1,7.2,US,1593305496
248,abalak,58.13,68.59,9.98,72,8,1.05,RU,1593305738
249,manggar,-2.88,108.27,28.21,79,97,6.28,ID,1593305738
250,yar-sale,66.83,70.83,8.9,68,69,2.34,RU,1593305240
251,qeshm,26.96,56.27,32.0,75,14,1.0,IR,1593305738
252,cassia,-20.58,-46.92,15.19,88,30,0.31,BR,1593305511
253,macusani,-14.08,-70.43,0.66,82,11,0.9,PE,1593305739
254,hovd,48.01,91.64,22.12,26,0,1.08,MN,1593305229
255,portales,34.19,-103.33,29.44,53,40,7.7,US,1593305739
256,xiaoweizhai,26.19,107.51,22.92,88,100,4.21,CN,1593305739
257,tuatapere,-46.13,167.68,8.99,92,100,2.19,NZ,1593305195
258,mehamn,71.04,27.85,6.48,85,100,6.42,NO,1593305739
